Company / Brand Name,Category,Website,Company LinkedIn,Instagram Handle,"City, State & Locations",Contact Person & Designation,Contact Details,Existing Affiliate / Partnership Program,Relevant Source / Reference Link,Partner Fit Rationale,Other Relevant Observations
House of Chikankari,Fashion / ethnic wear,https://www.houseofchikankari.in/,https://www.linkedin.com/company/house-of-chikankari/,@houseofchikankari.in,"New Delhi; online-only; business/return address: Okhla Phase 3, New Delhi.",Aakriti Rawal — Co-founder,business@houseofchikankari.in | info@houseofchikankari.in | +91 98710 57461 | Aakriti Rawal LinkedIn,Customer referral/rewards programme; no formal B2B affiliate programme identified.,"https://www.houseofchikankari.in/pages/meet-the-founders
https://www.houseofchikankari.in/pages/rewards
https://www.houseofchikankari.in/pages/contact-us",Referral-ready D2C brand with a dedicated business inbox. A first-order or referral acquisition pilot is a logical outreach hypothesis.,"Founded in 2020 by Aakriti and Poonam Rawal. Treat referral mechanics as customer-acquisition evidence, not as confirmed B2B affiliate proof."
Bummer,Fashion / D2C innerwear and loungewear,https://bummer.in/,https://in.linkedin.com/company/bummer-india,@bummer.in,"Ahmedabad, Gujarat; online D2C.",Sulay Lavsi — Founder,hello@bummer.in | Official website WhatsApp  +91 63574 61992| Sulay Lavsi LinkedIn,Formal customer referral programme and public distributor route; no formal B2B affiliate programme identified.,"https://bummer.in/pages/policy-for-bummer-referral-program
https://www.bummer.in/pages/our-story
https://in.linkedin.com/company/bummer-india",Existing referral economics create a credible basis for a measured incremental acquisition or voucher test.,"Official site reports serving 300,000+ customers. Do not equate the consumer referral programme with a business partnership."
Powersutra,Fashion / women’s workwear,https://www.powersutra.co/,https://in.linkedin.com/company/powersutra/,@powersutra,"Gurgaon, Haryana manufacturing address; online / pan-India.",Dr. Pooja Malhotra — Founder,bulkorder@powersutra.co | info@powersutra.co | +91 11 4119 8691 | Pooja Malhotra LinkedIn,Bulk-order commercial channel; no formal affiliate/referral programme identified.,https://www.powersutra.co/pages/copy-of-about-us,"Professional-women audience and bulk-order route support a targeted workwear, employee-benefit or co-marketing discussion.",Inclusive XS–6XL proposition. Current company size and a dedicated partnership programme were not found.
Bushirt,Fashion / men’s casual and streetwear,https://www.bushirt.in/,https://www.linkedin.com/company/bushirt-in/,@bushirt.in,Headquarters not found; online store with pan-India shipping.,Nishanth Jain — Founder & CEO,sales@bushirt.in | +91 74830 21942 | Nishanth Jain LinkedIn,"No formal affiliate, referral or business partnership programme identified.","https://www.bushirt.in/
https://in.linkedin.com/in/nishanth-jain",Lean D2C storefront and direct founder route suit a low-cost exploratory customer-acquisition proposal for young men’s fashion.,Lower priority: current growth measurement and structured partnership evidence are weaker than the other fashion finalists.
Littlebox India,Fashion / Gen-Z women’s fast fashion,https://littleboxindia.com/,https://www.linkedin.com/company/littlebox-india/,@littlebox.india,"Noida, Uttar Pradesh; own Noida factory; distribution across hundreds of Indian cities.",Rimjim Deka — Co-founder & CEO; Partha Kakati — Co-founder & CMO,support.influencers@littleboxindia.com | +91 93957 72299 (official WhatsApp) | founder Instagram/public profiles,"Official creator/influencer programme: up to 10% commission on qualifying organic sales. This is a creator programme, not confirmed B2B affiliate proof.","https://littleboxindia.com/pages/about-us
https://influencer.littleboxindia.com/
https://littleboxindia.com/pages/privacy-policy","The social-first, coupon-based programme provides the clearest performance-acquisition signal in the fashion set; propose a measurable pilot.","Launched in 2022. Official site reports 550+ people, making it Acceptable / borderline against the assignment’s approximate 500-person threshold."
Pilates d’Luxe,Fitness / reformer Pilates,https://pilatesdluxe.com/,Not found,@pilatesdluxe,"Noida, Uttar Pradesh; franchise targets Tier 1 and Tier 2 cities.",Named founder: Not found; public franchise team,Pilatesdluxe@gmail.com | +91 92114 18707 | WhatsApp / franchise form,"Explicit franchise model with marketing, training and operating support; not an affiliate programme.",https://pilatesdluxe.com/franchise/,Expansion-stage studio could test a new-member offer while entering Tier 1 / Tier 2 cities.,Total live network and named founder were not located in reviewed public materials; establish decision ownership before a full proposal.
Nitrro Fitness,Fitness / premium gym chain,https://nitrro.in/,https://in.linkedin.com/company/nitrrofitness,@nitrrofitness,"Mumbai HQ; official enquiry menu lists Mumbai and Pune sites (South Mumbai, Powai, Thane, Wakad, Kothrud, Kalyani Nagar and others).",Prabodh Davkhare — Founder,franchise.head@nitrro.in | info@nitrro.in | +91 91366 96232 | +91 96997 69608,"Explicit franchise programme with location, marketing, training and operating support; not an affiliate programme.","https://nitrro.in/
https://nitrro.in/franchise/
https://in.linkedin.com/company/nitrrofitness",Multi-site premium membership business with a dedicated franchise route supports a city-specific member-acquisition discussion.,Ten official site options are used as location evidence; no larger total is claimed.
Burn-Out Unisex Fitness Studio,Fitness / regional gym chain,https://burnoutfitnessstudio.com/,Not found,@burnoutunisexfitnessstudio,"Chennai, Tamil Nadu; latest official branch page lists 28 active outlets, including Hyderabad.",A. Fahad Jahangir — Founder,info@burnoutfitessstudio.com | +91 73394 11222 | Fahad Jahangir LinkedIn,Franchise programme and corporate-wellness programme; neither is labelled an affiliate programme.,"https://burnoutfitnessstudio.com/about/
https://burnoutfitnessstudio.com/branches/
https://burnoutfitnessstudio.com/",Regional membership network plus corporate wellness creates a credible employee/member-acquisition and location-specific campaign opportunity.,Different official pages use 25+ and 28; latest detailed branch page lists 28. Reconfirm at outreach.
The Pilates Studio,Fitness / Pilates and EMS,https://pilatesaltitude.com/,Not found; Namrata Purohit individual LinkedIn is linked from the official site,@thepilatesstudiomumbai,"Mumbai, Maharashtra; 32 branches nationally reported by The Hindu in February 2025.",Namrata Purohit and Samir Purohit — Co-founders,thepilatesstudioenq@gmail.com | +91 90046 60074 | +91 98331 51149 | Namrata Purohit LinkedIn,Official 'Bring Pilates To Your City' franchise route; not an affiliate programme.,"https://pilatesaltitude.com/
https://www.thehindu.com/life-and-style/fitness/chennai-pilates-expert-namrata-purohit-on-mind-body-exercise-celebrity-clients-and-more/article69233153.ece","Premium recurring memberships, national boutique footprint and a public franchise route support a city-level acquisition pilot.","More established than the smallest targets, but founders and a direct corporate contact route remain public."
Kris Gethin Gyms,Fitness / luxury gym chain,https://gethingyms.com/,https://www.linkedin.com/company/gethingyms,@gethingyms,"Centres listed in Jalandhar, Chembur (Mumbai), Delhi, Noida and Kolkata.",Kris Gethin and Jag Chima — Founders,Official contact/franchise form | +91 92179 33228 / +91 92179 33229 (official Instagram franchise contacts),Official franchise opportunity; not an affiliate programme.,"https://gethingyms.com/contact/
https://gethingyms.com/franchise-in-india/",Seven named centres across several cities support a focused city-level membership or lead-generation proposal.,No direct business email or complete national outlet count was displayed on reviewed pages; use official form.
